CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
ea2d413f4413        storm               52.47%              680.5MiB / 2GiB     33.23%              77.3MB / 5.2MB      663MB / 68.9MB      155
283acd69188f        kafka               1.23%               376.5MiB / 2GiB     18.38%              4.86MB / 8.88MB     61.5MB / 2MB        85
c841643e69d3        neo4j               0.30%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.46%               58.3MiB / 2GiB      2.85%               15.4MB / 1.68MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.02%               55.79MiB / 2GiB     2.72%               92.1MB / 663kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.39%               57.69MiB / 2GiB     2.82%               15.9MB / 1.8MB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.19%               72.31MiB / 2GiB     3.53%               94.9MB / 739kB      549MB / 15.8MB      6
ea2d413f4413        storm               44.44%              682.7MiB / 2GiB     33.33%              77.7MB / 5.38MB     663MB / 69.1MB      155
283acd69188f        kafka               0.98%               378.5MiB / 2GiB     18.48%              5.04MB / 9.21MB     61.5MB / 2.05MB     85
c841643e69d3        neo4j               0.31%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.38%               58.3MiB / 2GiB      2.85%               15.6MB / 1.75MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.82MiB / 2GiB     2.73%               94.6MB / 676kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.44%               57.69MiB / 2GiB     2.82%               16.1MB / 1.87MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.02%               72.31MiB / 2GiB     3.53%               97.4MB / 754kB      549MB / 15.8MB      6
ea2d413f4413        storm               45.45%              682.8MiB / 2GiB     33.34%              78MB / 5.56MB       663MB / 69.2MB      155
283acd69188f        kafka               1.08%               378.6MiB / 2GiB     18.48%              5.22MB / 9.55MB     61.5MB / 2.1MB      85
c841643e69d3        neo4j               0.31%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.41%               58.3MiB / 2GiB      2.85%               15.8MB / 1.82MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               57.63MiB / 2GiB     2.81%               99.5MB / 720kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.59%               57.75MiB / 2GiB     2.82%               16.3MB / 1.93MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               72.32MiB / 2GiB     3.53%               102MB / 801kB       549MB / 15.8MB      6
ea2d413f4413        storm               40.53%              685MiB / 2GiB       33.45%              78.3MB / 5.75MB     663MB / 69.4MB      155
283acd69188f        kafka               1.10%               383MiB / 2GiB       18.70%              5.4MB / 9.88MB      61.5MB / 2.15MB     85
c841643e69d3        neo4j               0.31%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.62%               58.3MiB / 2GiB      2.85%               15.9MB / 1.88MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.16%               57.63MiB / 2GiB     2.81%               102MB / 736kB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               60.12MiB / 2GiB     2.94%               16.5MB / 2MB        156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               72.35MiB / 2GiB     3.53%               105MB / 815kB       549MB / 15.8MB      6
ea2d413f4413        storm               43.64%              768.9MiB / 2GiB     37.55%              78.9MB / 6.09MB     663MB / 69.6MB      155
283acd69188f        kafka               1.26%               381.8MiB / 2GiB     18.64%              5.6MB / 10.2MB      61.5MB / 2.2MB      85
c841643e69d3        neo4j               21.99%              743.9MiB / 2GiB     36.32%              362kB / 13.7MB      28.8MB / 2.3MB      47
c715a2a42078        producer5           0.38%               58.32MiB / 2GiB     2.85%               16.1MB / 1.95MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.18%               57.63MiB / 2GiB     2.81%               105MB / 751kB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               61.18MiB / 2GiB     2.99%               16.5MB / 2.02MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               70.95MiB / 2GiB     3.46%               109MB / 860kB       549MB / 15.8MB      6
ea2d413f4413        storm               46.59%              770.3MiB / 2GiB     37.61%              79.7MB / 6.66MB     663MB / 69.7MB      155
283acd69188f        kafka               1.32%               387.9MiB / 2GiB     18.94%              5.8MB / 10.6MB      61.6MB / 2.24MB     85
